,Name,position,market_value_in_eur,age in days,contract expiry,Rating
376,Mattia De Sciglio,2,2000000.0,11074,861,1.0481702254348169
377,Lorenzo De Silvestri,2,400000.0,12681,496,2.7530078099946227
378,Thibault De Smet,2,4000000.0,9019,1226,2.366250855143168
379,Thomas Delaine,2,1200000.0,11280,861,3.272260222050296
380,Mikkel Desler,2,3000000.0,10220,496,4.48306471418292
381,Sergiño Dest,2,18000000.0,8141,496,2.0306278244202804
382,Giovanni Di Lorenzo,2,22000000.0,10785,1956,6.251728920600119
383,Bafodé Diakité,2,15000000.0,8073,1226,3.765013061902545
384,Moussa Diarra,2,1500000.0,8134,496,2.2873192459806937
385,Lucas Digne,2,15000000.0,10799,1226,3.148989663171629
386,Federico Dimarco,2,50000000.0,9229,1591,5.5710732653426565
387,Junior Dina Ebimbe,2,14000000.0,8123,1591,4.894699002089548
388,Moussa Djenepo,2,5000000.0,9009,1226,4.234751262721675
389,Dodô,2,20000000.0,8857,1591,3.98391046438806
390,Matt Doherty,2,4000000.0,11348,1226,4.563929941330829
391,Josh Doig,2,7000000.0,7576,1956,3.746621156627306
392,Souleyman Doumbia,2,2000000.0,9640,496,2.7163599069614413
393,Denzel Dumfries,2,30000000.0,9796,861,5.075414246646616
394,Tyronne Ebuehi,2,2500000.0,9923,861,3.335708684061748
395,Kingsley Ehizibue,2,2500000.0,10124,1226,3.106381305707397
396,Aritz Elustondo,2,9000000.0,10546,1226,2.0468469178905315
397,Alfonso Espino,2,3000000.0,11359,1226,3.4662204475561103
398,Pervis Estupiñán,2,35000000.0,9153,1591,5.071689927694088
399,Noah Fadiga,2,1000000.0,8476,1226,2.7714792605284035
400,Davide Faraoni,2,2000000.0,11434,496,3.095534411501426
401,Kiko Femenía,2,1500000.0,11697,861,2.2766771501077256
402,Kilian Fischer,2,1500000.0,8162,1591,2.1672944313422007
403,Thomas Foket,2,7000000.0,10369,861,3.212591727562889
404,Dimitri Foulquier,2,2500000.0,10916,861,2.283572188696056
405,Juan Foyth,2,25000000.0,9162,1226,3.845093880153704
406,Ryan Fredericks,2,1500000.0,11084,496,1.4827423833624227
407,Iván Fresneda,2,13000000.0,6716,1956,2.51052504288494
408,Jeremie Frimpong,2,50000000.0,8104,1956,8.027616734582823
409,Javi Galán,2,7000000.0,10315,496,4.814974148853296
410,Antonino Gallo,2,2500000.0,8439,1226,2.554329355217924
411,Raphaël Guerreiro,2,15000000.0,10647,1226,7.690046666110055
412,Malo Gusto,2,25000000.0,7210,2686,4.364128984752393
413,Theo Hernández,2,55000000.0,9263,1226,4.591668149867861
414,Aaron Hickey,2,30000000.0,7554,1226,1.84106344137814
415,Ismaily,2,2000000.0,12083,496,4.819027866019468
416,Ismail Jakobs,2,8000000.0,8582,1226,5.4667517608144
417,Reece James,2,50000000.0,8471,1956,5.474322222496138
418,Ben Johnson,2,8000000.0,8420,496,2.305388542452497
