,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
308,298,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,24,1992,33.1,1,35,6,17.1,1.06,0.18,0.03,0.17,21.8,7,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
309,299,Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,eng Premier League,29,1987,28.8,6,59,19,32.2,2.05,0.66,0.10,0.32,13.5,0,0,0,6.5,6.5,0.11,-0.5,-0.5,Matches
310,300,Davide Biraschi,it ITA,DF,Genoa,it Serie A,23,1994,20.0,0,4,0,0.0,0.20,0.00,0.00,,18.0,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
311,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
312,301,Valter Birsa,si SVN,"MF,FW",Chievo,it Serie A,30,1986,27.8,3,48,17,35.4,1.73,0.61,0.06,0.18,23.7,5,0,0,2.3,2.3,0.05,+0.7,+0.7,Matches
313,302,Milan Biševac,rs SRB,DF,Metz,fr Ligue 1,33,1983,7.9,0,5,1,20.0,0.63,0.13,0.00,0.00,15.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
314,303,Yves Bissouma,ml MLI,"MF,DF",Lille,fr Ligue 1,20,1996,17.3,2,41,6,14.6,2.36,0.35,0.05,0.33,25.9,2,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
315,304,Leonardo Bittencourt,de GER,"MF,FW",Köln,de Bundesliga,23,1993,17.9,5,32,10,31.3,1.79,0.56,0.16,0.50,16.7,0,0,0,3.2,3.2,0.10,+1.8,+1.8,Matches
316,305,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
317,306,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,21.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
318,307,Ludovic Blas,fr FRA,MF,Guingamp,fr Ligue 1,19,1997,19.9,3,39,14,35.9,1.96,0.70,0.08,0.21,22.7,0,0,0,3.6,3.6,0.09,-0.6,-0.6,Matches
319,308,Pablo de Blasis,ar ARG,"FW,MF",Mainz 05,de Bundesliga,29,1988,18.4,5,26,10,38.5,1.42,0.54,0.08,0.20,22.8,1,3,3,3.7,1.4,0.05,+1.3,+0.6,Matches
320,309,Jérémy Blayac,fr FRA,FW,Strasbourg,fr Ligue 1,34,1983,10.2,3,33,9,27.3,3.24,0.88,0.09,0.33,13.1,0,0,0,4.7,4.7,0.14,-1.7,-1.7,Matches
321,310,Alexis Blin,fr FRA,MF,Toulouse,fr Ligue 1,20,1996,21.0,1,11,3,27.3,0.52,0.14,0.09,0.33,16.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
