,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
63,62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,27,19,11,13,3,9,48,18.8,39,21,2,19,15,42,16,0,Matches
64,63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,40,23,19,13,8,27,60,45.0,33,22,4,18,43,83,40,0,Matches
65,64,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1,Matches
66,65,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,28,1,Matches
67,66,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,74,44,28,39,7,34,105,32.4,71,40,9,31,23,97,39,1,Matches
68,67,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,18,13,8,8,2,5,18,27.8,13,11,0,11,6,24,4,0,Matches
69,68,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,7.3,14,8,10,3,1,5,17,29.4,12,22,5,17,6,20,16,0,Matches
70,69,Dele Alli,eng ENG,"MF,FW",Everton,eng Premier League,25,1996,3.8,7,2,3,4,0,0,4,0.0,4,7,2,5,6,13,10,0,Matches
71,70,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,27,1994,19.1,47,29,23,17,7,11,44,25.0,33,14,1,13,20,67,13,0,Matches
72,71,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,41,29,20,12,9,17,36,47.2,19,29,5,24,43,84,53,0,Matches
73,72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,39,28,18,18,3,21,26,80.8,5,17,5,12,30,69,70,0,Matches
74,73,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
75,74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,24,14,15,8,1,10,18,55.6,8,21,16,5,45,69,97,0,Matches
76,75,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,30,19,13,13,4,14,26,53.8,12,10,3,7,11,41,10,2,Matches
77,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
78,76,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,10,4,4,5,1,4,7,57.1,3,2,1,1,10,20,10,0,Matches
79,77,Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28,1993,9.0,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0,Matches
80,78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
81,79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,26,13,19,7,0,19,29,65.5,10,30,22,8,21,47,93,4,Matches
82,80,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,25,1996,9.8,21,11,11,6,4,7,17,41.2,10,12,0,12,7,28,7,0,Matches
83,81,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0,Matches
84,82,Jordan Amavi,fr FRA,"DF,FW",Marseille,fr Ligue 1,27,1994,1.4,6,5,3,1,2,5,10,50.0,5,1,0,1,1,7,3,0,Matches
85,83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,3,2,1,1,1,2,3,66.7,1,2,0,2,3,6,1,0,Matches
86,84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,66,42,43,18,5,30,41,73.2,11,39,21,18,32,98,75,0,Matches
87,85,Nadiem Amiri,de GER,"MF,FW",Genoa,it Serie A,24,1996,7.6,6,4,2,2,2,2,9,22.2,7,7,0,7,0,6,0,0,Matches
88,86,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,24,1996,4.1,8,4,3,2,3,4,8,50.0,4,4,2,2,5,13,0,0,Matches
89,87,Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,20,2000,25.4,67,43,37,27,3,24,58,41.4,34,49,19,30,51,118,76,0,Matches
90,88,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,24,13,9,13,2,11,19,57.9,8,25,8,17,5,29,6,1,Matches
91,89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,30,23,21,9,0,16,27,59.3,11,29,19,10,37,67,125,3,Matches
92,90,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,71,45,30,33,8,27,99,27.3,72,65,6,59,20,91,16,0,Matches
93,91,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,11,7,0,3,8,3,9,33.3,6,8,0,8,3,14,14,0,Matches
94,92,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,1,0,Matches
95,93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,27,16,18,8,1,17,35,48.6,18,16,7,9,19,46,44,0,Matches
96,94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0,Matches
97,95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,12,10,7,4,1,7,9,77.8,2,6,2,4,6,18,8,0,Matches
98,96,Marcos André,br BRA,"FW,MF",Valencia,es La Liga,24,1996,10.8,15,11,4,6,5,5,16,31.3,11,15,0,15,7,22,13,0,Matches
99,97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,33,17,18,14,1,14,28,50.0,14,19,7,12,31,64,46,0,Matches
100,98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,20,13,9,9,2,9,14,64.3,5,6,1,5,10,30,21,0,Matches
101,99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,28,21,14,13,1,14,30,46.7,16,24,3,21,29,57,40,0,Matches
102,100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,Matches
103,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
104,101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,20,9,11,7,2,10,13,76.9,3,9,1,8,6,26,10,0,Matches
105,102,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,18,11,6,6,6,5,13,38.5,8,7,1,6,4,22,6,0,Matches
106,103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,40,26,22,15,3,19,32,59.4,13,27,16,11,32,72,116,1,Matches
107,104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Matches
108,105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,23,17,5,9,9,7,18,38.9,11,19,1,18,3,26,13,0,Matches
109,106,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,27,1994,12.6,21,18,7,8,6,6,26,23.1,20,12,0,12,1,22,8,0,Matches
110,107,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,23,1998,27.8,46,30,9,25,12,27,54,50.0,27,26,1,25,20,66,5,0,Matches
111,108,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,19,2002,12.0,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0,Matches
112,109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0,Matches
113,110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,62,37,19,32,11,20,68,29.4,48,35,5,30,32,94,18,0,Matches
114,111,Mattia Aramu,it ITA,"MF,FW",Venezia,it Serie A,26,1995,23.3,20,15,5,9,6,8,33,24.2,25,20,2,18,8,28,19,0,Matches
115,112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,45,25,18,21,6,22,52,42.3,30,24,4,20,33,78,21,0,Matches
116,113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,22,14,17,5,0,9,21,42.9,12,17,10,7,27,49,105,2,Matches
117,114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,41,23,29,12,0,21,25,84.0,4,37,20,17,23,64,66,1,Matches
118,115,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,20,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
119,116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
120,117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,3,3,2,1,0,0,2,0.0,2,0,0,0,0,3,2,1,Matches
121,118,Matias Arezo,uy URU,"FW,MF",Granada,es La Liga,18,2002,1.8,5,3,2,1,2,4,9,44.4,5,1,0,1,1,6,1,0,Matches
122,119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,12,5,8,3,1,4,9,44.4,5,8,4,4,5,17,10,0,Matches
123,120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,10,4,2,2,6,0,6,0.0,6,13,1,12,3,13,6,0,Matches
124,121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,27,19,15,6,6,9,23,39.1,14,10,1,9,8,35,15,0,Matches
125,122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,17,9,1,11,5,7,30,23.3,23,13,2,11,7,24,17,0,Matches
126,123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,37,20,19,16,2,20,50,40.0,30,43,15,28,37,74,55,0,Matches
127,124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
128,125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,35,20,15,16,4,19,50,38.0,31,17,4,13,13,48,23,1,Matches
129,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
130,126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,9,5,2,5,2,4,7,57.1,3,4,1,3,1,10,8,0,Matches
131,127,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,14,6,6,5,3,6,13,46.2,7,6,0,6,4,18,7,0,Matches
132,128,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,26,1994,17.9,11,6,3,6,2,5,19,26.3,14,14,1,13,7,18,7,0,Matches
133,129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,93,54,50,37,6,38,89,42.7,51,31,6,25,41,134,42,0,Matches
134,130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,0,Matches
135,131,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
136,132,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,25,1996,19.2,12,8,6,4,2,4,18,22.2,14,8,1,7,12,24,6,1,Matches
137,133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
138,134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,18,6,7,11,0,9,19,47.4,10,14,7,7,15,33,15,0,Matches
139,135,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,de Bundesliga,18,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
140,136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15.0,18,9,9,8,1,11,29,37.9,18,16,7,9,19,37,15,1,Matches
141,137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,14,7,1,5,8,4,24,16.7,20,23,2,21,11,25,19,0,Matches
142,138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0,Matches
143,139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,13,6,4,5,4,4,8,50.0,4,14,2,12,8,21,16,0,Matches
144,140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,29,19,17,10,2,14,25,56.0,11,13,2,11,32,61,21,0,Matches
145,141,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,11,5,6,4,1,3,10,30.0,7,12,1,11,0,11,4,0,Matches
146,142,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12.0,2,2,0,1,1,0,5,0.0,5,9,1,8,2,4,4,0,Matches
147,143,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,3,1,3,0,0,3,5,60.0,2,0,0,0,2,5,17,2,Matches
148,144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,36,20,22,8,6,17,29,58.6,12,19,4,15,29,65,68,1,Matches
149,145,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,fr Ligue 1,24,1997,0.9,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,0,0,Matches
150,146,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,es La Liga,27,1994,8.8,18,14,11,3,4,8,13,61.5,5,10,3,7,5,23,21,0,Matches
151,147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,14,9,11,2,1,4,7,57.1,3,14,7,7,11,25,25,0,Matches
152,148,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,27,1994,20.8,17,7,6,7,4,7,21,33.3,14,14,2,12,13,30,15,1,Matches
153,149,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,11,7,3,6,2,1,9,11.1,8,11,2,9,2,13,29,0,Matches
